小程序名称,评价人数,人气,好评率,分类,标签,作者,发布时间,小程序介绍,评分
丹东妈妈网亲子门票商城,0,3288,0%,旅游攻略,旅游攻略,丹东妈妈网亲子门票商城,2017-06-09,提供丹东地区景点门票，亲子游乐场门票等购买预定服务，让亲子出游省时省力，服务更贴心，售后有保障。,0.0
KeepKeep,4,3251,100%,健康运动,运动健身,程小序,2017-03-22,Keep 是一款具有社交属性的健身工具类产品。用户可以利用碎片化的时间，随时随地地选择适合自己的健身课程进行真人同步训练。,5.0
北京润逸堂商贸有限公司,1,3237,100%,购物商城,商城生活服务男装女装,北京润逸堂商贸有限公司,2017-01-18,致力于为消费者提供更多选择、更低价格、更为便捷的一站式购物体验。海量热门商品，全部正品在线销售，为您省钱更省心。,5.0
积木足球,2,3231,100%,体育足球,足球体育赛事直播,积木足球,2017-01-19,为足球球迷提供比赛提醒工具，包括中超、中甲、英超、西甲、意甲、德甲等赛事比赛相关数据，为您喜欢球队加油。,5.0
倒班日历,0,3213,0%,工具日历,工具日历生活服务,fc,2017-02-06,倒班日历可以通过输入开始上班的日期和倒班的方式快速计算倒休情况。,0.0
型格助手,0,3200,0%,购物商城,男装女装鞋子箱包,型格助手,2017-01-20,每天推荐5款好玩、好用的型格单品,0.0
粉色草莓,0,3181,0%,视频在线视频,短视频短片,粉色草莓,2017-01-22,该小程序提供萌妹子、 文艺范美女、 养眼美女等短视频及片。,0.0
小白乐驾Lite,0,3169,0%,教育驾考,驾考宝典驾考帮手考驾测试题,小白乐驾Lite,2017-01-24,全流程学车，尽在小白乐驾Lite,0.0
机器互联云,0,3168,0%,办公办公软件,生命周期管理互联云软件,机器互联云,2017-01-23,机器互联云为多样化服务终端提供统一全生命周期管理平台，支持各种不同业务软件的运行，缩短集成和开发时间。,0.0
卡娃音乐相册,2,3135,100%,图像美化滤镜,音乐相册纪念相册网络相册DIY相册,卡娃音乐相册,2017-01-18,在这里，你可以把照片制作成动态音乐影集，把最美好的回忆永远珍藏起来。,5.0
达达快送＋,1,3132,100%,工具查询,同城快递送去东西,于果果,2017-02-09,送取东西，同城快递，一小时送达！,5.0
黑马雷达,2,3103,90%,金融创投,股市交易牛股投资教育,汪鹏,2017-02-08,股市行情深度解读，培养操作技巧，把握买卖时机,4.5
云阅读小说,6,3065,96%,阅读电子书,电子书网络小说原创小说,福建云阅网络科技有限公司,2017-02-20,云阅文学MiniApp是一款电子书阅读器，提供玄幻、言情、都市等原创小说在线阅读，精彩小说尽在云阅文学。,4.8
信网资讯,0,3041,0%,阅读资讯,金融房地产生活服务,信网资讯,2017-01-17,24小时播报青岛新闻、青岛财经、青岛民生;聚焦青岛经济发展、报道青岛房产风云、关注青岛消费维权-青岛海量资讯,0.0
沪上房产圈,0,3023,0%,生活房产,房产信息购房资讯新闻,沪上房产圈,2017-01-23,沪上房产圈，为你甄选沪上房产信息，新闻、活动、新政、购房百科全聚焦。,0.0
考拉听听,3,3000,100%,音乐在线音乐,搞笑段子小说名人演讲,考拉听听,2017-01-17,考拉听听小程序是考拉ＦＭ推出的精简版小程序，考拉听听小程序具有和考拉ＦＭ一样的功能，可以在线听你喜欢听的节目，喜欢就拿出手机使用微信扫一扫考拉听听小程序的二维码，就能立即进入小程序！,5.0
太保产险,0,2990,0%,金融创投,保险咨询保险购买理赔服务保险,太保产险,2017-02-03,中国太平洋财产保险股份有限公司官方小程序，为客户提供保险咨询、购买、理赔服务。,0.0
姨妈日历,0,2978,0%,母婴经期,母婴经期,姨妈日历,2017-06-09,"姨妈日历是鉴鉴公司重磅推出的一款专为女性定制的日历； 
姨妈日历轻松记录月经期、预测期、安全期、排卵期； 
姨妈日历时刻给你贴心的问候，生活原来如此美好； 
姨妈日历因为有你，所以亲切； 
姨妈日历发现更健康的你。",0.0
RELINK项目管理,0,2932,0%,办公办公软件,项目管理relink互联网,北京锐宁咨询有限公司,2017-01-23,RELINK项目管理协作云， 互联网时代的项目管理方式！,0.0
街舞酱Lite,0,2925,0%,社交社区,街舞社交生活服务,街舞酱Lite,2017-01-17,专业街舞赛事服务商，这里有全国各地的街舞活动信息。,0.0
佐丹奴官网,0,2916,0%,购物商城,购物商城,佐丹奴官网,2017-06-10,"佐丹奴官方小程序, 最新货品，优惠折扣，会员签到赢积分，www.giordano.com",0.0
买车网官网,0,2909,0%,生活汽车,购车资讯汽车报价购车,买车网官网,2017-01-16,买车网官网是一款选车工具小程序，为汽车消费者提供全面、准确、便捷的汽车价格查询服务。,0.0
宝宝树孕育问答,2,2901,100%,母婴育儿,育儿知识母婴咨询问答,babytree,2017-02-09,宝宝树孕育问答由宝宝树出品，集合众多产科、儿科、早教专家智慧，汇聚千万宝爸宝妈孕育经验，为您解答所有孕育问题。,5.0
小合租吧,0,2887,0%,工具查询,合租找房子,992832791,2017-02-10,还在为租房难而烦恼吗？“合租吧”一键租房，免中介，大数据匹配室友，省时省钱省力更省心！,0.0
丽水掌上社保,0,2881,0%,生活家政服务,生活家政服务,丽水掌上社保,2017-06-09,为持有丽水市社会保障卡的参保人提供信息查询、社保业务办理、亲情社保管理、社保服务网点查询等功能。,0.0
朋小圈校友录,2,2865,100%,社交社区,校友录,同路人,2017-02-10,微信里的校友录。只能查看已经加入班级的校友圈。,5.0
爸妈搜课堂,0,2859,0%,教育儿童教育,亲子教育在线课程社交儿童故事,爸妈搜课堂,2017-01-20,60万爸妈关注的在线视听觉课堂,0.0
BillBoard公告牌音乐,4,2832,96%,音乐在线音乐,在线音乐,BillBoard公告牌音乐,2017-02-13,全球音乐榜单、创新趋势及行业的风向标Billboard、 Billboard中国唯一官方小程序、提供最新的音乐榜单、资讯、采访等节目内容。,4.8
我的一周,1,2810,100%,办公存储,我的一周日程todolist工作清单,沃慧科技,2017-02-14,"我的一周小程序通过6维度：肾（艳遇指数）心（爱情指数）脑（智力指数）眼（旅游指数） 运（事业指数） 脸（颜值指数）来生成属于你的一周运势海报。

同时通过最简洁的方式建立一周工作清单，快速有效管理人生目标。

更多技术支持：4008202293",5.0
木屋优选,0,2810,0%,购物商城,女装男装鞋子,木屋优选,2017-01-19,享受优质，是午后的一种放松，是睡前一缕淡淡清香，是干燥季节一种温润，是烦躁时一种安抚。买到一份特别的礼物，尽在木屋优选。,0.0
国际品牌价格,0,2788,0%,工具查询,价格查询工具产品信息,国际品牌价格,2017-01-17,唯一国际品牌官方授权的时尚单品搜索引擎，提供可靠的线上平台供用户查询各时尚品牌最新、最全的产品信息,0.0
星火共赢,0,2782,0%,社交社区,资讯效率招聘求职论坛,星火共赢,2017-01-23,基于人脉圈子的供需信息互通平台，高效整合资源，对接合作。您职业发展的加速器！,0.0
经典室内设计,1,2775,100%,生活家装,大潮装饰湖南装修公司株洲装修公司长沙装修公司经典装修,李政,2017-01-17,"海量的经典装修案例,别墅|套房|小户型|公寓|美容院|酒店|KTV|酒吧|写字楼|办公室|宾馆|会所|咖啡厅|商铺,总有一款适合您！",5.0
小红书,1,2767,100%,母婴美妆,母婴美妆,小红书,2017-06-08,最全的护肤美妆心得,5.0
检查留痕,1,2749,100%,健康健康,健康医疗,检查留痕,2017-06-07,检查留痕，主要用于各类检查中留下痕迹,5.0
网贷记账本,0,2746,0%,金融理财,理财记账投资网贷计算器,网贷记账本,2017-02-06,致力于最方便、快捷、简单的网贷记账，自动生成投资明细和待收明细，掌握理财情况，合理规划投资。,0.0
欧贝淘淘,0,2721,0%,购物商城,母婴海淘直邮美妆法国欧洲,欧贝淘淘,2017-02-10,欧贝淘淘，淘遍法国，淘遍欧洲，海淘，直邮，婴幼儿奶粉，母婴用品，美妆，洗护，礼品。航空直邮，快捷放心。,0.0
搜狗翻译,1,2710,100%,旅游翻译,旅游翻译,搜狗翻译,2017-06-07,搜狗翻译，为您提供快速、精准、免费的中英互译功能。,5.0
爱美女性时尚网,1,2690,100%,阅读资讯,时尚发型时尚彩妆,爱美女性时尚网,2017-01-17,爱美女性时尚网小程序是由广州爱美互动网络股份有限公司研发，致力打造一个为女性提供美丽护肤、时尚彩妆、瘦身纤体、流行发型、经典香水等潮流资讯平台！,5.0
gank集中营,1,2684,60%,阅读资讯,图片音频资讯视频,-l囧l-,2017-02-06,干货集中营，每日推荐最新的移动开发技术，并附赠一张美图。,3.0
万惠三农,0,2681,0%,金融理财,商业服务金融电商农林牧渔,PPmoney理财,2017-01-20,Pmoney理财“互联网+信用三农”项目。,0.0
松鼠宝宝相册,0,2679,0%,图像美化滤镜,纪念相册网络相册DIY相册视频,松鼠宝宝相册,2017-01-24,一人分享，家人实时查看，记录成长故事，保留精彩瞬间，大容量云存储，永不丢失。,0.0
群统计,0,2663,0%,社交娱乐,社交计算工具投票,群统计,2017-01-13,群统计是一款微信投票工具。使用它你可以便捷地发起投票，参与投票，分享投票。,0.0
思路网+,0,2657,0%,工具查询,电商服务商思路网,思路网,2017-01-28,找电商相关服务，尽在思路网+，一键搜索，快速服务，助力每一位用户从数千家电商服务商中更快、更精准的找到更可信、更适合的服务商！,0.0
售电利润计算器,0,2641,0%,工具计算器,利润计算器,帅小冲,2017-02-13,售电利润计算器旨在帮助售电公司测算电力市场化交易的利润及考核情况，是售电公司参与电力市场化交易和结算的计算神器,0.0
宝宝树孕育什么不能吃,0,2636,0%,母婴育儿,生活服务教育育儿美食,宝宝树孕育什么不能吃,2017-01-17,宝宝树孕育小程序是宝宝树公众号推出的应用小程序，宝宝树孕育小程序可以让你更方便的知道在怀孕期间什么东西是不能吃的，一查便知，非常的方便，而且相当的实用！,0.0
国足报,0,2623,0%,阅读资讯,阅读资讯,国足报,2017-06-10,中国足球最新资讯，最新热点，中国足球进军世界杯，以梦为马……,0.0
广告狗日历,0,2605,0%,工具日历,工具日历,广告狗日历,2017-06-07,便于广告狗查询行业重要活动、展会、大赛信息，让广告狗的世界更美好！,0.0
周边酒店,0,2588,0%,旅游酒店住宿,旅游酒店住宿,周边酒店,2017-06-09,周边特色酒店,0.0
我的沃尔沃,0,2587,0%,生活汽车,生活汽车,我的沃尔沃,2017-06-09,轻量化的沃尔沃随车管家，支持车辆定位、车门锁开关、闪灯操作，并支持在朋友间分享远程控制。,0.0
放你,8,2579,96%,社交表情头像,休闲娱乐个性表情,北京众鸣世纪科技有限公司,2017-02-28,个性表情生成工具,4.8
动动图文,0,2552,0%,图像美化滤镜,壁纸美化动图文字,梦象壁纸,2017-02-09,为用户提供动态的文字或图片展示,0.0
赶集网lite,0,2550,0%,工具查询,求职招聘租房生活服务,赶集网lite,2017-02-06,赶集网，专业的分类信息平台！招聘求职找工作，靠谱工作随”薪“选；海量优质房源，精心为你挑选。,0.0
一把刀成语词典,0,2525,0%,教育单词字典,成语词典成语,xinhuazidian,2017-02-10,本程序收录了三万多个成语，可按成语首字母索引查找成语，也可按成语汉字查找，内容包含该词的读音、含义、造句、出处等。,0.0
公式大全,2,2524,100%,教育学习,在线教育公式大全,上海风创信息咨询有限公司,2017-03-10,初高中数学、物理公式大全。,5.0
超鱼电视,7,2501,82%,视频在线视频,电视直播特色频道在线视频,成都中辉乾坤文化传媒有限责任公司,2017-02-17,超鱼电视是一款简洁、高清、稳定的电视直播收看应用，热门频道全面聚合，央视、卫视、影视、少儿、特色频道全覆盖。,4.1
我爱兼职,0,2498,0%,生活家政服务,生活家政服务,我爱兼职,2017-06-09,及时发布全国最新，最简单，最赚钱的兼职项目；欢迎个人或团队合作！,0.0
歌词找歌名,0,2508,0%,社交娱乐,社交娱乐,歌词找歌名,2017-06-11,通过歌词片段内容查找歌名，并查看歌词内容，将歌词分享给朋友们,0.0
梦想旅行,3,2489,94%,旅游旅行,旅游出国旅行旅游攻略酒店预订旅行点评,北京梦想智联科技有限公司,2017-02-09,汇聚境外数万热门旅行城市吃喝玩乐购信息，不仅可查看地理位置，营业时间，商家简介等信息，更有“过来人”的评价，供你参考。出国哪吃哪玩哪购物？试试梦想旅行吧！,4.7
表情收藏夹,1,2463,100%,社交表情头像,斗图表情表情包聊天斗图神器,表情收藏夹,2017-02-03,发现更多好玩有趣的自定义表情，可以收藏1000个表情，突破微信收藏限制,5.0
掌尚微旅行,7,2447,92%,出行航班,航空航班查询酒店服务旅游线路,山东航公股份有限公司,2017-03-10,"掌上旅程,一触即发.特价机票随手订，航班动态全面查、在线值机不用等、贵宾礼遇轻松享、出行旅游不用愁，专属于你的旅行体验。",4.6
全足球,0,2445,0%,体育足球,足球体育赛事直播,全足球,2017-01-19,提供最便捷的足球联赛积分榜等数据查询方式，更多功能陆续开发中。全足球，努力做最全面的足球数据库。,0.0
网易新闻精选,6,2442,100%,阅读资讯,新闻资讯图片视频文章阅读,网易新闻精选,2017-02-14,网易新闻精选，给你最热的新闻和最深刻的独家解读。,5.0
通信词典,0,2432,0%,教育单词字典,通信词典通信从业者必备通信专业词查询,通信词典,2017-02-03,查询通信专业词汇的专业解释，开放性的专业词典，通信从业者的专业必备。,0.0
凤凰news,0,2425,0%,阅读资讯,新闻视频最新资讯,凤凰news,2017-01-20,凤凰新闻,0.0
组织控,0,2394,0%,社交社区,社交投票团队管理,小码团队,2017-01-18,"##组织控－10秒拥有你的组织团队管理小程序
能够为组织提供公告、投票、讨论等扩展功能

使用场景

## 微信群管理
如果你有几个微信群，那么“组织控”可以有效的帮你把群组织起来，发起讨论，投票。提高群活跃度

##行业组织
如果你在一个行业，需要一个工具来积累组织的内容，组织控可以很好的帮助你发起讨论，纪录等

##家庭私密/老乡聚义
对于私密组织来说，只要你设定组织为“非公开”，那么你就可以将“组织控”作为一个私密圈子，和你想分享的人一起分享

##班级/企业/团队管理
班长，组长，社长，聪明的你们肯定知道怎么通过“组织控”怎么帮助您了。",0.0
易行江城,0,2377,0%,工具查询,机动车违法查询驾驶证违法查询,易行江城,2017-02-10,"""易行江城""是武汉交警政务服务的官方微门户。可通过移动互联“一站式”享受机动车违法查询与驾驶证违法查询功能。",0.0
凤凰房产+,3,2369,100%,生活房产,房产信息,北京凤凰天博网络科技有限公司,2017-02-24,凤凰房产系凤凰新媒体、凤凰网旗下领先的房产信息平台，为华人购房群体提供丰富的新房信息，着力打造全球华人首选置业平台。,5.0
剩剩,0,2349,0%,阅读资讯,情感阅读文章分享恋爱技巧,剩剩,2017-02-10,我们不能阻止情感给你带来的困扰，我们可以教你如何解开情感的困惑，掌握恋爱技巧，提升相处智慧。您的贴心的情感心理专家——剩剩,0.0
逗咖秀,1,2320,60%,社交社区,节日贺卡拜年贺卡祝福贺卡,逗咖秀,2017-02-01,节日贺卡，拜年贺卡，祝福贺卡小程序,3.0
邻朋便利店,0,2316,0%,购物商城,便利店商城社交拼团,邻朋便利店,2017-01-24,基于微信小程序的商城系统，充分利用微信的社交传播特点，主打拼团，众销等功能，快速引爆销量。,0.0
维修装修,0,2284,0%,生活家政服务,维修装修买房必备房产信息装修顾问,维修装修,2017-01-13,一键发布装修或维修的需求信息，装修公司，包工头，维修师傅，都会主动联系您！让你装修和维修变得更轻松更便捷更省心！,0.0
传图识字,2,2274,100%,办公办公软件,办公办公软件,传图识字,2017-06-08,让人工智能来帮你识别照片里的文字，贴心的选词功能让你只复制你想要的。,5.0
选师到家,1,2266,100%,教育学习,家教辅导补习提分,習慣沉默,2017-02-08,最专业的中小学老师预约平台，线上预约老师，线下试听上课，帮助家长快速找到适合自己孩子的好老师。,5.0
当时月经by小鱼的树洞,1,2248,100%,母婴经期,母婴经期,当时月经by小鱼的树洞,2017-06-08,他总算可以记住你的大姨妈了……,5.0
汽车护卫,0,2241,0%,工具查询,养车修车私家车主服务,汽车护卫,2017-02-10,汽车护卫基于移动互联网技术，围绕汽车售后服务市场，致力于微大多数私家车主服务，让养车不再难、不再贵、一键就搞定。,0.0
一个小祝福,0,2227,0%,社交社区,祝福贺卡新年贺卡音乐贺卡,一个小祝福,2017-01-22,传一张有感触的照片，写一段真挚的文字，生成一个简洁而美的小祝福，在特别的日子，发给特别的朋友。,0.0
微软小蜜,14,2215,98%,办公办公软件,办公软件PPT图片,微软(中国)有限公司,2017-02-27,利用微软认知服务深度学习图片取其中的文字、图形： 一键将你的图片制作成 PPT 文件！,4.9
文都教育Lite,0,2213,0%,教育学习,考研校区文都,文都教育,2017-02-09,文都教育Lite是文都教育官方推出的校区查询功能的小程序，方便学员查找身边的上课及报名校区信息。,0.0
群友圈子,1,2195,100%,社交社区,社交社区,群友圈子,2017-06-08,微信群友的朋友圈，最好的微信兴趣社区平台，每个人都可以建立属于自己的陌生人兴趣社区。,5.0
凤外香,0,2180,0%,生活美食,菜谱提升厨艺美食推荐,凤外香,2017-01-17,凤外香小程序是一款菜谱教学大全应用小程序，凤外香小程序上面有着全国各大菜系的制作方法，喜欢研究食物的朋友可以直接扫描凤外香小程序二维码就能立即进入凤外香小程序哦！,0.0
中青旅遨游客,0,2157,0%,旅游攻略,旅游旅行攻略分享,誉鸣,2017-02-13,【中青旅遨游客】专业酷刑专家游记、靠谱旅游攻略、实用指南信息、精彩旅途同您分享！,0.0
德立智充,2,2146,100%,出行交通,停车加油车辆充电车位预留,德立智充,2017-02-05,电动汽车用户通过《德立智充》应用，发现并收藏本小区或视距范围的充电桩，实现车位预留、车辆充电、桩状态查看、支付等功能。,5.0
宝宝树经期助手,2,2143,100%,母婴经期,健康管理经期助手,宝宝树,2017-03-10,宝宝树旗下打造经期记录准确预测工具，避免大姨妈来访时的尴尬局面。同时为备孕人群提供关爱提醒。关爱每一位女性必备需求。,5.0
小咖秀lite,7,2132,100%,视频在线视频,视频娱乐,Panda,2017-03-22,小咖秀是一款火爆的短视频社区应用，轻巧好玩的拍摄工具创作了海量精彩内容，更有贾乃亮、TFBOYS、何蓝逗等大牌明星网红等你来。,5.0
NoPingWestAI,0,2121,0%,阅读资讯,科技圈段子最新资讯,NoPingWestAI,2017-01-23,提供科技圈段子的最新资讯，每日2点定时更新,0.0
多空算盘,0,2111,0%,金融创投,投资理财金融股票证券,多空算盘,2017-01-16,本程序计算大盘当日强弱，只提供多空信息查询功能。提示信息仅供参考。 后续将加入个股多空计算。,0.0
群聚会小助手,1,2027,100%,社交社区,聚会活动群聚会助手,北京汇康益生科技有限gong',2017-01-23,组织聚会，很easy：1.自动统计聚会人员；2.聚会信息一目了然；3.地图显示聚会地点；4.一键导航轻松到达。小助手，助你高效聚会。有了聚会小助手，从此聚会不靠吼。,5.0
群通讯录,1,2024,100%,社交社区,通讯录 名片夹联系方式,刘崇亮,2017-01-28,快速创建一个群通讯录，方便维护和查找群成员的信息和联系方式。,5.0
玄派小说创作辅助,0,2018,0%,工具查询,小说创作辅助大纲撰写角色姓名查询,玄派小说创作辅助,2017-01-23,这是一个小说创作辅助工具，可以方便生成角色姓名、功法、丹药、武器、地名等，亦可辅助大纲撰写、情节灵感生成等。,0.0
小问卷,0,1984,0%,办公办公软件,统计投票收集信息数据调查,小问卷,2017-01-23,小问卷是一款专业的统计投票、收集信息的工具，帮您方便地完成数据调查,0.0
西甲巴萨,1,1976,100%,体育足球,球赛足球球员动态体育赛事,西甲巴萨,2017-02-10,巴萨的新闻、数据、赛程、原创、球员动态、一网打尽。,5.0
汽车限号,0,1969,0%,出行交通,交通出行生活工具查询,汽车限号,2017-01-19,提供各大城市汽车限号信息,0.0
马拉松日历,0,1963,0%,工具查询,马拉松马拉松日历马拉松赛事马拉松赛事表马拉松查询,Marser,2017-02-10,提供马拉松赛事查询、马拉松赛事列表的小程序,0.0
驾考科目一,0,1943,0%,教育驾考,驾考宝典驾考帮手考驾测试,驾考科目一,2017-01-23,同步官方驾考科目一题库，科目一 1330 题，并对题库进行详细分类整理，方便学员系统性学习，切实帮助学员提高成绩顺利通过考试。,0.0
i麦当劳,3,1941,100%,生活美食,生活美食,i麦当劳,2017-04-22,为顾客提供会员注册，消费得积分，以及积分换优惠券等功能服务,5.0
成才智慧微生活,0,1924,0%,教育学习,免费公开课营销,成才教练-天狮网商第一人,2017-02-06,网络营销相关的教育音频，每晚6点互联网那点事,0.0
日本留学信息,0,1908,0%,工具查询,工具查询,日本留学信息,2017-04-01,针对日本出国留学相关的资讯、进度等信息查询的小程序,0.0
107间,0,1875,0%,生活房产,房源信息租房找房房产信息,107间,2017-01-23,「107间」官方小程序。目前服务北京，可搜索和查询经107间平台审核过的真实房源信息，全部0中介费，帮助租客更快更省钱地找房！107间，让租房真实而简单！,0.0
昆明信息港资讯,0,1868,0%,生活,生活资讯,昆明信息港资讯,2017-04-01,辐射云南的综合性城市门户网站，具有国务院新闻办批准的国家一级资质，为广大用户提供权威新闻、经济民生、旅游文化等资讯。,0.0
专利信息检索,0,1860,0%,工具查询,工具查询,专利信息检索,2017-04-01,专利信息检索，主要为专利从业人员提供一个快速的专利检索、专利查询的服务，数据覆盖全球专利数据,0.0
新股信息一览,0,1809,0%,工具,工具信息,新股信息一览,2017-04-01,A股新股发型信息便捷查询,0.0
秒汇商店,1,1804,100%,购物商城,电商购物商城,成都白云互动科技有限公司,2017-03-01,发现创意，乐享生活；个性化购物与创意生活指南。提供高品质的产品，注重时尚与性价比，强调设计感与品位。正品保障，全场包邮。,5.0
闺蜜试用,0,1801,0%,母婴美妆,闺蜜试用免费试用美妆产品口碑评价,闺蜜试用,2017-02-01,最新大牌化妆品免费试用平台。挑选感兴趣的产品，参与申请就有机会获得。参与试用告诉我们你们的口碑评价，赢取更多试用资格。,0.0
美女汽车,0,1788,0%,图像美化滤镜,美图娱乐壁纸,美女汽车,2017-01-17,"美女汽车小程序目前而言体验感觉还不错，网友们进入美女汽车小程序后会出现各类美女汽车图片壁纸，有香车美女，清新美女，清纯可爱，气质女神等相关选项任网友们选择,还担心找不到壁纸吗?扫一扫即可加入美女汽车小程序!再也不用担心没有壁纸了。",0.0
路演评分,0,1746,0%,金融创投,创建路演评分,路演评分,2017-01-19,“路演评分”非常适合路演、比赛等需要评委评分的场合。主办方可以快速创建路演，评委可以对路演项目实时评分评价，评分排名还可以实时展示，路演结束统计分析也自动完成。,0.0
看图神器,7,1743,98%,图像美化滤镜,看图神器美女图片桌面壁纸,123,2017-02-21,图片搜索浏览下载,4.9
找图神器,0,1741,0%,阅读表情头像,美图娱乐,找图神器,2017-01-13,斗图表情、明星美女、装B配图、唯美壁纸、海量高清图片免费下载，麻麻再也不用担心我找不到好图片了！,0.0
新昌信息港,0,1734,0%,金融理财,金融信息,新昌信息港,2017-04-01,新昌信息港&天姥论坛，新昌人的网上家园,0.0
记录基础体温,1,1715,100%,健康健康,基础体温大姨妈月经,外籍杰克,2017-02-08,一款简约的记录基础体温的工具,5.0
妈咪同学,0,1713,0%,母婴育儿,社交育儿锦囊,妈咪同学,2017-01-22,每天参与和分享一条育儿锦囊,0.0
健康计算器,2,1712,100%,健康健康,健康医疗,健康计算器,2017-04-21,健康体检：通过身高、体重测量是否符合健康基本标准，并给予相对应的健康饮食建议。每天一检查，身体健康又长寿！,5.0
行家看看,1,1702,100%,工具查询,工具查询问答鉴赏收藏品,tongye,2017-02-09,“行家看看”是一个艺术收藏品专业回答交流平台。当你遇到艺术品鉴赏、艺术品投资、鉴定估价等问题，都有行家在线为您答疑解惑。,5.0
言小鱼,1,1685,100%,社交娱乐,社交娱乐,言小鱼,2017-06-08,小鱼小程序，乐于开发,5.0
珠宝玉石圈,0,1681,0%,阅读资讯,珠宝鉴定信息查询翡翠最新资讯,珠宝玉石圈,2017-01-18,《中国翡翠》杂志官方小程序，以翡翠为主，涵盖所有珠宝品类。展示珠宝文化独特视角，提升珠宝的人文价值，提示珠宝共性之美。,0.0
卡路里换算,1,1680,80%,健康,健康卡路里换算,卡路里换算,2017-04-20,Byebye君卡路里小程序帮你掌握卡路里摄入，帮你和过去不健康的生活饮食方式说Byebye!,4.0
家居效果图,0,1658,0%,生活家装,装修家居房产信息装修顾问工具,家居效果图,2017-01-17,一款能够浏览海量高清家居美图的图片查看小程序，帮你找到装修灵感。 搜狐焦点家居出品「家居效果图」——浏览海量家居美图，感受家居设计之美。,0.0
天涯文学免费小说,9,1642,92%,阅读电子书,在线阅读原创小说在线小说,天涯社区网络科技股份有限公司,2017-02-20,推送天涯er最in的文章和小说、情感暧昧、撞鬼趣事、侦探悬疑、家长里短、励志哲学，八卦娱乐尽在天涯文学免费小说。,4.6
肯德基会员活动,0,1616,0%,生活美食,肯德基点餐外送会员,肯德基会员活动,2017-01-24,程序功能包括： WOW会员登录注册、 会员码扫描、 K金商城积分兑礼、 我的卡包查看优惠券等.,0.0
济宁市全媒体辟谣平台,1,1613,80%,阅读资讯,资讯辟谣,济宁广播电视台,2017-06-01,济宁市辟谣平台,4.0
涂鸦神器,0,1605,0%,社交娱乐,涂鸦聊天绘图画图手绘绘画,蜜枣科技,2017-01-24,快乐无限，涂鸦神器，让您在创意的海洋中画出自己的作品。排行榜，首页精选涂鸦，还能分享到聊天与好友互动。,0.0
翻译小帮手,0,1600,0%,教育单词字典,翻译单词语言翻译,艺江湖,2017-02-07,"各种语言互换翻译,字典",0.0
素食雷达+,0,1595,0%,生活美食,美食点评美食推荐素食,和和科技（北京）有限公司,2017-02-23,发现素食的美好,0.0
一把刀英汉词典,0,1588,0%,教育单词字典,英汉词典词典,xinhuazidian,2017-02-10,一把刀英汉词典，提供11万英文单词的发音、音标、词性、中文解释、英文例句及翻译。,0.0
圆通小App,0,1572,0%,工具查询,生活服务快递查询寄快递,圆通小App,2017-01-17,圆通速递创建于2000年5月28日，经过十六余年的发展，已成为一家集速递、航空、电子商务等业务为一体的大型企业集团，形成了集团化、网络化、规模化、品牌化经营的新格局，为客户提供一站式服务。,0.0
芒果TV视频,3,1514,100%,视频在线视频,电视剧电影综艺节目动漫,湖南快乐阳光互动娱乐传媒有限公司,2017-02-23,芒果TV是湖南广播电视台旗下唯一互联网视频平台，芒果TV视频小程序，为用户提供各类热门电视剧、综艺、动漫、电影等内容。,5.0
英语易百分,1,1509,100%,教育单词字典,学习工具英语单词速记在线翻译,英语易百分,2017-01-16,英语易百分面向小初高同学，单词紧贴课本，智能学习引擎，根据遗忘曲线规则以及学习情况，为您量身制定学习计划，提分快。,5.0
闲看视频,0,1502,0%,视频在线视频,新闻资讯搞笑视频娱乐美女,闲看视频,2017-02-14,最新最热新闻资讯，搞笑视频集锦，娱乐美女体育，游戏萌宠时尚，风光民俗旅游，你想看的我们都有！,0.0
闪萌表情,0,1497,0%,社交表情头像,动图表情搞笑图片动图素材斗图,闪萌表情,2017-01-23,收录图片数量最多，搜索结果最准的中文动图搜索引擎，独创精准+联想的搜索模式，图片丰富、找图精准快速，为热爱斗图、喜欢用图聊天以及寻找动图素材的用户量身定制。,0.0
珍爱网婚恋,4,1464,90%,社交婚恋,珍爱网社交婚恋,珍爱网,2017-02-06,"中国婚恋行业标杆品牌，各大卫视相亲节目合作方，汇聚9000万单身男女的婚恋交友应用。 
详细介绍： 
【专业】：11年专业婚恋服务经验，帮助千万单身男女邂逅幸福，成就佳缘 
【安全】：身份验证+个人资料审核，约会交友非诚勿扰，更加安全靠谱 
【用心】：心动异性，随时自助聊天交友，缘来不错过 
【高效】：3000位专业红娘牵线搭桥，让有缘的对象浪漫相亲，高效婚配",4.5
二手车评估汪,0,1462,0%,工具查询,报价比价信息查询修车养车生活服务,彭博,2017-01-23,评估汪，二手车评估专家。基于大数据和人工智能技术为您的爱车估值。公平、准确、可靠！,0.0
祝福语精选,0,1458,0%,社交社区,祝福语大全生日祝福语结婚祝福语祝福短信息,祝福语精选,2017-01-23,祝福语精选提供各种日常祝福语、节日祝福语，方便在各种节日、日常生活中给亲人、朋友发送彼此的祝福。,0.0
群任务,0,1454,0%,办公办公软件,任务日程日历轻松办公,孙洋,2017-01-18,协同办公的利器～ 团队必备,0.0
